cutoff	n.component	n.too.large.comp	max.size.comp	clst.closure.scr	clst.vote.scr	clst.center.scr	clst.center.merge.scr	clst.edit.vote.scr	clst.vote.prc	clst.vote.rec	clst.vote.f10	clst.vote.f05	clst.edit.vote.prc	clst.edit.vote.rec	clst.edit.vote.f10	clst.edit.vote.f05	clst.center.prc	clst.center.rec	clst.center.f10	clst.center.f05	clst.center.merge.prc	clst.center.merge.rec	clst.center.merge.f10	clst.center.merge.f05	clst.closure.prc	clst.closure.rec	clst.closure.f10	clst.closure.f05
0.84	9812	0	7	269.023499038595	279.818586477514	187.329671312139	182.814934462069	280.781543904834	0.940839694656488	0.479727538112228	0.635445757250269	0.789136698324619	0.944587628865979	0.475510866039572	0.632578209277238	0.788935529006565	0.9740777666999	0.316899124229646	0.478218306412139	0.688513037350247	0.95897903372835	0.341226078494972	0.503349282296651	0.704055681970285	0.924374636416521	0.515407071034707	0.661807580174927	0.797770860528166
0.85	9921	0	7	236.822434827496	246.262107486039	167.974472055103	163.969677567112	247.09822989031	0.947716743878226	0.464482646772624	0.623421854592947	0.78448559219897	0.94885598923284	0.457346740188129	0.6172028890348	0.780990362246594	0.973577235772358	0.310736295815764	0.47110892549791	0.682433395070523	0.957786116322702	0.331170937398638	0.492166787177633	0.694841431876957	0.927835051546392	0.49626986701265	0.646661031276416	0.790370906085339
0.86	10051	0	6	207.359087487738	214.721373742182	149.289441283803	146.577329174858	215.55917619229	0.946403385049365	0.435290301654233	0.596311930682071	0.766419189034837	0.94793152639087	0.431073629581576	0.592642140468228	0.76458405246807	0.974656810982049	0.299383717158612	0.458064516129032	0.671663513316839	0.958783120706575	0.316899124229646	0.476352998537299	0.682357871211063	0.937860345932095	0.474862147259163	0.630490956072351	0.784818269540045
0.87	10185	0	6	180.0289640923	185.306880687358	131.327728759704	129.646571912704	186.091767414084	0.954881656804734	0.418747972753811	0.582187147688839	0.760216700035332	0.954954954954955	0.412585144339929	0.576217440543601	0.756152657234574	0.978237214363438	0.291599091793707	0.449275362318841	0.665039206983282	0.968879668049792	0.30295167045086	0.461576476402273	0.673007637988183	0.947118644067796	0.453130068115472	0.612988152698552	0.777579873093621
0.88	10329	0	6	153.81939021683	158.067632160552	114.187625380763	112.975636792192	158.594185570042	0.958135860979463	0.393447940317872	0.557829386065762	0.744445808272984	0.960925039872408	0.390853065196237	0.555683652294213	0.743919002345969	0.978185993111366	0.276354200454103	0.430955993930197	0.648698035632709	0.968061674008811	0.285111903989621	0.440491104986219	0.654504839910648	0.952554744525547	0.423289004216672	0.586121715697283	0.761999299310989
0.89	10464	0	6	129.841395311408	132.817119883478	97.85566604383	97.126007046196	133.239388314101	0.964586846543002	0.371067142393772	0.535956898571094	0.730803628465568	0.963247863247863	0.365553032760298	0.529978838466965	0.725879170423805	0.980699638118215	0.263704184236134	0.415644171779141	0.63525550867323	0.97864768683274	0.267596496918586	0.420275089149261	0.639039504260263	0.963346613545817	0.392150502757055	0.557399723374827	0.746019992595335
0.9	10604	0	6	107.516287261426	109.305580474798	82.2820895650057	81.7762681070759	109.809146938456	0.963029756537421	0.346415828738242	0.509541984732825	0.710200824577736	0.962419798350138	0.340577359714564	0.503114518447532	0.704981871894723	0.982256020278834	0.251378527408368	0.400309917355372	0.621093123898061	0.980024968789014	0.254622121310412	0.40422245108136	0.624304119611898	0.963247863247863	0.365553032760298	0.529978838466965	0.725879170423805
0.91	10748	0	6	86.327656741291	88.0176848257115	67.64438619427	67.1992296098334	88.5289650840593	0.964354527938343	0.324683749594551	0.485804416403786	0.691776088458881	0.96390243902439	0.320467077521894	0.481012658227848	0.687734929695114	0.982620320855615	0.238404151800195	0.38371182458888	0.604938271604938	0.980263157894737	0.241647745702238	0.387717928701535	0.608361914094398	0.964088397790055	0.339604281543951	0.502278723914608	0.704860643597684
0.92	10910	0	5	67.3641270538987	68.9631859864254	53.8865408329262	53.5995131470098	69.0957514221978	0.96712619300106	0.295815763866364	0.453055141579732	0.665207877461707	0.966844919786096	0.293220888744729	0.449975111996018	0.66246519126484	0.98140200286123	0.222510541680182	0.362771020624008	0.583432556557238	0.978843441466855	0.225105416801816	0.366033755274262	0.586247676972462	0.96285140562249	0.311060655205968	0.470213287570483	0.678505730861752
0.93	11091	0	5	50.5698277175326	51.8343484170414	41.3215841274832	40.914946275541	51.9127576702521	0.970449172576832	0.266299059357768	0.417918045304149	0.634761094788928	0.973747016706444	0.264677262406747	0.416220351951033	0.634032634032634	0.984326018808778	0.20369769704833	0.337543671056168	0.557231588287489	0.981481481481481	0.206292572169964	0.340927365317609	0.560352422907489	0.968574635241302	0.279922153746351	0.434323100150981	0.649165036858733
0.94	11287	0	5	36.2388215301646	36.8730506992058	30.0356853760669	29.6490741081715	37.0056814334523	0.976221928665786	0.239701589361012	0.384895833333333	0.604647357224677	0.975642760487145	0.233863120337334	0.377289377289377	0.596953137936745	0.986159169550173	0.184884852416477	0.311390330510789	0.528266913809083	0.986348122866894	0.187479727538112	0.315072226764786	0.532522572323567	0.9757343550447	0.247810574116121	0.39524055871702	0.614641995172969
0.95	11498	0	5	23.8495101252581	24.4858481124251	20.3276388950273	20.0451049835612	24.565502911727	0.98202614379085	0.194939993512812	0.325304465493911	0.543301392153318	0.981818181818182	0.192669477781382	0.322125813449024	0.539705615119026	0.989711934156379	0.156016866688291	0.269543289436817	0.478416550626616	0.989754098360656	0.156665585468699	0.27051246149538	0.479642502482622	0.980273141122914	0.209536166072008	0.345269909139498	0.564784053156146
0.96	11703	0	5	14.3027468517787	14.4969166580628	12.30867657228	12.1604010172191	14.5395316581504	0.978043912175649	0.15893610120013	0.2734375	0.481619815215255	0.983805668016194	0.157638663639312	0.271736091696953	0.48033208143902	0.987562189054726	0.128770677911126	0.227833572453372	0.423150714133447	0.987562189054726	0.128770677911126	0.227833572453372	0.423150714133447	0.97495183044316	0.164125851443399	0.280955024986119	0.490405117270789
0.97	11945	0	5	6.93534717178168	7.01377250395053	6.14201831427169	6.05624459682769	7.02213250247019	0.983240223463687	0.11417450535193	0.204591688462656	0.389811738648948	0.985955056179775	0.113850145961726	0.204129107298633	0.389394275571333	0.989655172413793	0.0930911449886474	0.170174918470205	0.338204100872024	0.989655172413793	0.0930911449886474	0.170174918470205	0.338204100872024	0.983651226158038	0.117093739863769	0.209275362318841	0.396616128323445
0.98	12206	0	4	2.23761534332544	2.30860074908018	2.1153444160619	2.1153444160619	2.31732097913016	0.994736842105263	0.0613039247486215	0.115490375802016	0.245901639344262	0.994594594594595	0.0596821277975997	0.112607099143207	0.240648705205336	0.99390243902439	0.0528705806033085	0.100400369571913	0.217972719978604	0.99390243902439	0.0528705806033085	0.100400369571913	0.217972719978604	0.985507246376812	0.0661693156016867	0.124012158054711	0.260802863717719
0.99	12430	0	3	0.370033080778828	0.370033080778828	0.345626640358746	0.345626640358746	0.370413762067411	1	0.0204346415828738	0.0400508582326764	0.0944527736131934	1	0.0197859228024651	0.0388040712468193	0.0916741809437932	1	0.0178397664612391	0.0350541746335245	0.0832576445655465	1	0.0178397664612391	0.0350541746335245	0.0832576445655465	1	0.0204346415828738	0.0400508582326764	0.0944527736131934
